BEGIN_DATA,,,,
year,month,day,hour,demand
2015,7,1,21,13631379
2015,7,2,24,11694143
2015,7,2,3,9873696
2015,7,2,6,9772785
2015,7,2,9,11213806
2015,7,2,12,12887201
2015,7,2,15,13831996
2015,7,2,18,13706397
2015,7,2,21,12763563
2015,7,3,24,11098475
2015,7,3,3,9379248
2015,7,3,6,9042786
2015,7,3,9,9964167
2015,7,3,12,11763975
2015,7,3,15,12853288
2015,7,3,18,13108285
2015,7,3,21,12228767
2015,7,4,24,10750999
2015,7,4,3,9110634
2015,7,4,6,8646542
2015,7,4,9,9313569
2015,7,4,12,11323826
2015,7,4,15,12413690
2015,7,4,18,12624896
2015,7,4,21,11598980
2015,7,5,24,10381187
2015,7,5,3,8940682
2015,7,5,6,8512430
2015,7,5,9,9254578
2015,7,5,12,11539828
2015,7,5,15,13176798
2015,7,5,18,13765629
2015,7,5,21,13078640
2015,7,6,24,11407873
2015,7,6,3,9692432
2015,7,6,6,9699075
2015,7,6,9,11554627
2015,7,6,12,13901003
2015,7,6,15,15589231
2015,7,6,18,15831344
2015,7,6,21,14699720
2015,7,7,24,12516746
2015,7,7,3,10469490
2015,7,7,6,10372985
2015,7,7,9,12117806
2015,7,7,12,14245713
2015,7,7,15,15397711
2015,7,7,18,15307389
2015,7,7,21,14230053
2015,7,8,24,12211352
2015,7,8,3,10337570
2015,7,8,6,10268506
2015,7,8,9,11865815
2015,7,8,12,13826489
2015,7,8,15,15047012
2015,7,8,18,15014832
2015,7,8,21,14096985
2015,7,9,24,12178839
2015,7,9,3,10318227
2015,7,9,6,10267313
2015,7,9,9,11927261
2015,7,9,12,13966062
2015,7,9,15,15283377
2015,7,9,18,15526649
2015,7,9,21,14531444
2015,7,10,24,12461885
2015,7,10,3,10500167
2015,7,10,6,10257263
2015,7,10,9,11902584
2015,7,10,12,14116580
2015,7,10,15,15487631
2015,7,10,18,15731454
2015,7,10,21,14439975
2015,7,11,24,12363120
2015,7,11,3,10282525
2015,7,11,6,9671598
2015,7,11,9,10734341
2015,7,11,12,13335621
2015,7,11,15,14810463
2015,7,11,18,15161770
2015,7,11,21,14132113
2015,7,12,24,12271536
2015,7,12,3,10250139
2015,7,12,6,9550760
2015,7,12,9,10425918
2015,7,12,12,13090135
2015,7,12,15,14843733
2015,7,12,18,15426552
2015,7,12,21,14722332
2015,7,13,24,12737796
2015,7,13,3,10717041
2015,7,13,6,10577939
2015,7,13,9,12467266
2015,7,13,12,15033498
2015,7,13,15,16638333
2015,7,13,18,16936729
2015,7,13,21,15867114
2015,7,14,24,13430349
2015,7,14,3,11198491
2015,7,14,6,11040229
2015,7,14,9,12800963
2015,7,14,12,14998163
2015,7,14,15,16314044
2015,7,14,18,16487116
2015,7,14,21,15328911
2015,7,15,24,13037248
2015,7,15,3,10922913
2015,7,15,6,10729879
2015,7,15,9,12331938
2015,7,15,12,14249395
2015,7,15,15,15491176
2015,7,15,18,15716884
2015,7,15,21,14590928
2015,7,16,24,12401311
2015,7,16,3,10345072
2015,7,16,6,10190390
2015,7,16,9,11745034
2015,7,16,12,13722814
2015,7,16,15,15081016
2015,7,16,18,15529815
2015,7,16,21,14612312
2015,7,17,24,12547458
2015,7,17,3,10495200
2015,7,17,6,10382254
2015,7,17,9,12114904
2015,7,17,12,14590572
2015,7,17,15,16202349
2015,7,17,18,16460683
2015,7,17,21,15260192
2015,7,18,24,13136358
2015,7,18,3,10990290
2015,7,18,6,10332866
2015,7,18,9,11534631
2015,7,18,12,14244818
2015,7,18,15,15759504
2015,7,18,18,16108149
2015,7,18,21,15184130
2015,7,19,24,13130048
2015,7,19,3,11041835
2015,7,19,6,10261519
2015,7,19,9,11376611
2015,7,19,12,14358612
2015,7,19,15,16091342
2015,7,19,18,16455165
2015,7,19,21,15559529
2015,7,20,24,13392857
2015,7,20,3,11352817
2015,7,20,6,11231508
2015,7,20,9,13192561
2015,7,20,12,15902461
2015,7,20,15,17554872
2015,7,20,18,17686667
2015,7,20,21,16469116
2015,7,21,24,13924211
2015,7,21,3,11598888
2015,7,21,6,11359827
2015,7,21,9,13036066
2015,7,21,12,15272341
2015,7,21,15,16586742
2015,7,21,18,16664203
2015,7,21,21,15365428
2015,7,22,24,12950540
2015,7,22,3,10784235
2015,7,22,6,10570906
2015,7,22,9,12204285
2015,7,22,12,14341828
2015,7,22,15,15819653
2015,7,22,18,16111281
2015,7,22,21,14905741
2015,7,23,24,12647038
2015,7,23,3,10596398
2015,7,23,6,10493215
2015,7,23,9,12208530
2015,7,23,12,14378987
2015,7,23,15,15826892
2015,7,23,18,16116719
2015,7,23,21,15002247
2015,7,24,24,12796902
2015,7,24,3,10720116
2015,7,24,6,10546298
2015,7,24,9,12203642
2015,7,24,12,14441409
2015,7,24,15,15956083
2015,7,24,18,16277183
2015,7,24,21,15018561
2015,7,25,24,12781368
2015,7,25,3,10601778
2015,7,25,6,9959199
2015,7,25,9,11011652
2015,7,25,12,13605486
2015,7,25,15,15235675
2015,7,25,18,15672841
2015,7,25,21,14588347
2015,7,26,24,12552827
2015,7,26,3,10481227
2015,7,26,6,9774597
2015,7,26,9,10655102
2015,7,26,12,13414540
2015,7,26,15,15235113
2015,7,26,18,15741171
2015,7,26,21,14920472
2015,7,27,24,12904547
2015,7,27,3,10915708
2015,7,27,6,10840140
2015,7,27,9,12659038
2015,7,27,12,15358395
2015,7,27,15,17075132
2015,7,27,18,17399812
2015,7,27,21,16260491
2015,7,28,24,13810635
2015,7,28,3,11480011
2015,7,28,6,11231382
2015,7,28,9,13145042
2015,7,28,12,15993070
2015,7,28,15,17738625
2015,7,28,18,17894431
2015,7,28,21,16644792
2015,7,29,24,14108859
2015,7,29,3,11750289
2015,7,29,6,11463135
2015,7,29,9,13274519
2015,7,29,12,15939964
2015,7,29,15,17640777
2015,7,29,18,17733187
2015,7,29,21,16508305
2015,7,30,24,13955909
2015,7,30,3,11623163
2015,7,30,6,11382748
2015,7,30,9,13123279
2015,7,30,12,15635235
2015,7,30,15,17186403
2015,7,30,18,17182972
2015,7,30,21,15874835
2015,7,31,24,13418991
2015,7,31,3,11065859
2015,7,31,6,10720058
2015,7,31,9,12437954
2015,7,31,12,14806241
2015,7,31,15,16321971
2015,7,31,18,16592857
2015,7,31,21,15028622
2015,8,1,24,12602342
2015,8,1,3,10384824
2015,8,1,6,9737220
2015,8,1,9,10823987
2015,8,1,12,13385698
2015,8,1,15,14849664
2015,8,1,18,15329749
2015,8,1,21,14267017
