BEGIN_DATA,,,,
year,month,day,hour,solar_capacity
2016,1,1,24,0
2016,1,1,3,0
2016,1,1,6,0
2016,1,1,9,0
2016,1,1,12,0
2016,1,1,15,0.197619055333333
2016,1,1,18,0.459947715333333
2016,1,1,21,0.472494042333333
2016,1,2,24,0.107229282333333
2016,1,2,3,0
2016,1,2,6,0
2016,1,2,9,0
2016,1,2,12,0
2016,1,2,15,0.212959235666667
2016,1,2,18,0.498588778666667
2016,1,2,21,0.505333467666667
2016,1,3,24,0.112732685
2016,1,3,3,0
2016,1,3,6,0
2016,1,3,9,0
2016,1,3,12,0
2016,1,3,15,0.259450567666667
2016,1,3,18,0.603729447666667
2016,1,3,21,0.613584837
2016,1,4,24,0.156158692
2016,1,4,3,0
2016,1,4,6,0
2016,1,4,9,0
2016,1,4,12,0
2016,1,4,15,0.280741965666667
2016,1,4,18,0.570294687
2016,1,4,21,0.547248078333333
2016,1,5,24,0.130487957333333
2016,1,5,3,0
2016,1,5,6,0
2016,1,5,9,0
2016,1,5,12,0
2016,1,5,15,0.115549586666667
2016,1,5,18,0.409690286333333
2016,1,5,21,0.405125154333333
2016,1,6,24,0.090620492
2016,1,6,3,0
2016,1,6,6,0
2016,1,6,9,0
2016,1,6,12,0
2016,1,6,15,0.101570436666667
2016,1,6,18,0.356686944333333
2016,1,6,21,0.364433115666667
2016,1,7,24,0.0861672613333333
2016,1,7,3,0
2016,1,7,6,0
2016,1,7,9,0
2016,1,7,12,0
2016,1,7,15,0.153395198333333
2016,1,7,18,0.422404147
2016,1,7,21,0.433006064666667
2016,1,8,24,0.112821444333333
2016,1,8,3,0
2016,1,8,6,0
2016,1,8,9,0
2016,1,8,12,0
2016,1,8,15,0.169073317666667
2016,1,8,18,0.383743323
2016,1,8,21,0.309546796
2016,1,9,24,0.0663257943333333
2016,1,9,3,0
2016,1,9,6,0
2016,1,9,9,0
2016,1,9,12,0
2016,1,9,15,0.245908553
2016,1,9,18,0.552198164
2016,1,9,21,0.556623518666667
2016,1,10,24,0.147625987
2016,1,10,3,0
2016,1,10,6,0
2016,1,10,9,0
2016,1,10,12,0
2016,1,10,15,0.334396720666667
2016,1,10,18,0.628799246666667
2016,1,10,21,0.556132519
2016,1,11,24,0.107054269
2016,1,11,3,0
2016,1,11,6,0
2016,1,11,9,0
2016,1,11,12,0
2016,1,11,15,0.260685593333333
2016,1,11,18,0.571234604666667
2016,1,11,21,0.577216586666667
2016,1,12,24,0.149748977
2016,1,12,3,0
2016,1,12,6,0
2016,1,12,9,0
2016,1,12,12,0
2016,1,12,15,0.361265239
2016,1,12,18,0.628394678333333
2016,1,12,21,0.625026937666667
2016,1,13,24,0.161848614333333
2016,1,13,3,0
2016,1,13,6,0
2016,1,13,9,0
2016,1,13,12,0
2016,1,13,15,0.282618327666667
2016,1,13,18,0.61593425
2016,1,13,21,0.602729162333333
2016,1,14,24,0.146110580333333
2016,1,14,3,0
2016,1,14,6,0
2016,1,14,9,0
2016,1,14,12,0
2016,1,14,15,0.298991303333333
2016,1,14,18,0.603416175333333
2016,1,14,21,0.605564153666667
2016,1,15,24,0.164020269
2016,1,15,3,0
2016,1,15,6,0
2016,1,15,9,0
2016,1,15,12,0
2016,1,15,15,0.338729096333333
2016,1,15,18,0.590267857333333
2016,1,15,21,0.507442836333333
2016,1,16,24,0.113812725666667
2016,1,16,3,0
2016,1,16,6,0
2016,1,16,9,0
2016,1,16,12,0
2016,1,16,15,0.177309208
2016,1,16,18,0.478173863
2016,1,16,21,0.50216534
2016,1,17,24,0.150807058
2016,1,17,3,0
2016,1,17,6,0
2016,1,17,9,0
2016,1,17,12,0
2016,1,17,15,0.185769637333333
2016,1,17,18,0.454559493666667
2016,1,17,21,0.467128151666667
2016,1,18,24,0.138577695
2016,1,18,3,0
2016,1,18,6,0
2016,1,18,9,0
2016,1,18,12,0
2016,1,18,15,0.276447647333333
2016,1,18,18,0.58706778
2016,1,18,21,0.578849128666667
2016,1,19,24,0.148650082666667
2016,1,19,3,0
2016,1,19,6,0
2016,1,19,9,0
2016,1,19,12,0
2016,1,19,15,0.126858956666667
2016,1,19,18,0.465283603666667
2016,1,19,21,0.562222952333333
2016,1,20,24,0.160243072
2016,1,20,3,0
2016,1,20,6,0
2016,1,20,9,0
2016,1,20,12,0
2016,1,20,15,0.122833216666667
2016,1,20,18,0.368494249333333
2016,1,20,21,0.406905123
2016,1,21,24,0.127106387666667
2016,1,21,3,0
2016,1,21,6,0
2016,1,21,9,0
2016,1,21,12,0
2016,1,21,15,0.231907634333333
2016,1,21,18,0.538617645
2016,1,21,21,0.547653677333333
2016,1,22,24,0.167496900333333
2016,1,22,3,0
2016,1,22,6,0
2016,1,22,9,0
2016,1,22,12,0
2016,1,22,15,0.316263837
2016,1,22,18,0.627827409666667
2016,1,22,21,0.647057642333333
2016,1,23,24,0.184353110333333
2016,1,23,3,0
2016,1,23,6,0
2016,1,23,9,0
2016,1,23,12,0
2016,1,23,15,0.316150041666667
2016,1,23,18,0.632916925666667
2016,1,23,21,0.590621148666667
2016,1,24,24,0.155708461666667
2016,1,24,3,0
2016,1,24,6,0
2016,1,24,9,0
2016,1,24,12,0
2016,1,24,15,0.202193100333333
2016,1,24,18,0.533892077666667
2016,1,24,21,0.570731422
2016,1,25,24,0.171181813666667
2016,1,25,3,0
2016,1,25,6,0
2016,1,25,9,0
2016,1,25,12,0
2016,1,25,15,0.304974980333333
2016,1,25,18,0.579084536333333
2016,1,25,21,0.569377117333333
2016,1,26,24,0.152755172333333
2016,1,26,3,0
2016,1,26,6,0
2016,1,26,9,0
2016,1,26,12,0
2016,1,26,15,0.19030219
2016,1,26,18,0.45332345
2016,1,26,21,0.462510464666667
2016,1,27,24,0.129612862
2016,1,27,3,0
2016,1,27,6,0
2016,1,27,9,0
2016,1,27,12,0
2016,1,27,15,0.320005776
2016,1,27,18,0.631965111666667
2016,1,27,21,0.632564796666667
2016,1,28,24,0.198749030333333
2016,1,28,3,0
2016,1,28,6,0
2016,1,28,9,0
2016,1,28,12,0
