BEGIN_DATA,,,,
year,month,day,hour,wind_capacity
2016,1,1,24,0.15766679
2016,1,1,3,0.178569269333333
2016,1,1,6,0.183022402333333
2016,1,1,9,0.145846079333333
2016,1,1,12,0.136477857333333
2016,1,1,15,0.169801551666667
2016,1,1,18,0.267373378
2016,1,1,21,0.390051963
2016,1,2,24,0.450098545666667
2016,1,2,3,0.437397737
2016,1,2,6,0.377283477
2016,1,2,9,0.193829275
2016,1,2,12,0.198411624
2016,1,2,15,0.245319765333333
2016,1,2,18,0.352579540333333
2016,1,2,21,0.377582304
2016,1,3,24,0.399455315
2016,1,3,3,0.420281368
2016,1,3,6,0.434354197333333
2016,1,3,9,0.237588690333333
2016,1,3,12,0.323387701
2016,1,3,15,0.402953321333333
2016,1,3,18,0.559069738666667
2016,1,3,21,0.711609163666667
2016,1,4,24,0.75116747
2016,1,4,3,0.697970910666667
2016,1,4,6,0.63321764
2016,1,4,9,0.347760284333333
2016,1,4,12,0.443962929333333
2016,1,4,15,0.535988098666667
2016,1,4,18,0.734279283
2016,1,4,21,0.787993544
2016,1,5,24,0.795813086
2016,1,5,3,0.740747259666667
2016,1,5,6,0.644249404333333
2016,1,5,9,0.32723885
2016,1,5,12,0.466315575666667
2016,1,5,15,0.585718622
2016,1,5,18,0.705148747666667
2016,1,5,21,0.774478106666667
2016,1,6,24,0.807820551666667
2016,1,6,3,0.745672264
2016,1,6,6,0.652543105666667
2016,1,6,9,0.504587036666667
2016,1,6,12,0.674297281
2016,1,6,15,0.693232821666667
2016,1,6,18,0.708200705333333
2016,1,6,21,0.68574935
2016,1,7,24,0.659036116
2016,1,7,3,0.649827127333333
2016,1,7,6,0.619087615
2016,1,7,9,0.44462128
2016,1,7,12,0.556107064333333
2016,1,7,15,0.590469298666667
2016,1,7,18,0.728331265333333
2016,1,7,21,0.821363099
2016,1,8,24,0.825213304
2016,1,8,3,0.731320769
2016,1,8,6,0.615275275
2016,1,8,9,0.331764596666667
2016,1,8,12,0.299147219
2016,1,8,15,0.324526350333333
2016,1,8,18,0.480459269333333
2016,1,8,21,0.570228528333333
2016,1,9,24,0.595664017
2016,1,9,3,0.562659382333333
2016,1,9,6,0.481380586
2016,1,9,9,0.257296513666667
2016,1,9,12,0.325010445
2016,1,9,15,0.365784996666667
2016,1,9,18,0.435704896666667
2016,1,9,21,0.516105015333333
2016,1,10,24,0.520474318333333
2016,1,10,3,0.465672724
2016,1,10,6,0.385353454333333
2016,1,10,9,0.176458971666667
2016,1,10,12,0.187611795666667
2016,1,10,15,0.231047181333333
2016,1,10,18,0.293990331
2016,1,10,21,0.377293574666667
2016,1,11,24,0.464348124
2016,1,11,3,0.496777774
2016,1,11,6,0.495480744
2016,1,11,9,0.240744936333333
2016,1,11,12,0.306856366
2016,1,11,15,0.322584657
2016,1,11,18,0.368411175666667
2016,1,11,21,0.396121239666667
2016,1,12,24,0.437197812666667
2016,1,12,3,0.483767244333333
2016,1,12,6,0.501599816
2016,1,12,9,0.254805122666667
2016,1,12,12,0.222413918333333
2016,1,12,15,0.241560306333333
2016,1,12,18,0.246817764
2016,1,12,21,0.279822484666667
2016,1,13,24,0.323335228666667
2016,1,13,3,0.347973144333333
2016,1,13,6,0.315526340666667
2016,1,13,9,0.132923767666667
2016,1,13,12,0.116570034666667
2016,1,13,15,0.121360907666667
2016,1,13,18,0.25725085
2016,1,13,21,0.325230687666667
2016,1,14,24,0.328961251333333
2016,1,14,3,0.319716781333333
2016,1,14,6,0.260299385333333
2016,1,14,9,0.127764410666667
2016,1,14,12,0.103579692666667
2016,1,14,15,0.129851336
2016,1,14,18,0.176651713666667
2016,1,14,21,0.204574187
2016,1,15,24,0.232569423666667
2016,1,15,3,0.291663869333333
2016,1,15,6,0.322399186333333
2016,1,15,9,0.158521775
2016,1,15,12,0.224232585
2016,1,15,15,0.329909239333333
2016,1,15,18,0.464607364
2016,1,15,21,0.594196105666667
2016,1,16,24,0.723320665666667
2016,1,16,3,0.806506991
2016,1,16,6,0.77724592
2016,1,16,9,0.662046869666667
2016,1,16,12,0.708861756
2016,1,16,15,0.696057853333333
2016,1,16,18,0.793847852
2016,1,16,21,0.786846111666667
2016,1,17,24,0.742387027333333
2016,1,17,3,0.707433143666667
2016,1,17,6,0.630498488666667
2016,1,17,9,0.479969812
2016,1,17,12,0.498583467666667
2016,1,17,15,0.466336061666667
2016,1,17,18,0.48462677
2016,1,17,21,0.516242092333333
2016,1,18,24,0.524810693
2016,1,18,3,0.563058802333333
2016,1,18,6,0.530039304
2016,1,18,9,0.356141358333333
2016,1,18,12,0.38168189
2016,1,18,15,0.389731248666667
2016,1,18,18,0.475610848
2016,1,18,21,0.506527742333333
2016,1,19,24,0.533500416666667
2016,1,19,3,0.572269487333333
2016,1,19,6,0.542864993
2016,1,19,9,0.272933487
2016,1,19,12,0.293926572666667
2016,1,19,15,0.266094031
2016,1,19,18,0.276984811
2016,1,19,21,0.268635625666667
2016,1,20,24,0.228710512666667
2016,1,20,3,0.189158633
2016,1,20,6,0.151753581
2016,1,20,9,0.095551977
2016,1,20,12,0.120497081666667
2016,1,20,15,0.126313028
2016,1,20,18,0.173322309
2016,1,20,21,0.214156763333333
2016,1,21,24,0.219845588
2016,1,21,3,0.232311720333333
2016,1,21,6,0.259652275666667
2016,1,21,9,0.124706502666667
2016,1,21,12,0.100405843333333
2016,1,21,15,0.127855784
2016,1,21,18,0.214437795
2016,1,21,21,0.253166378666667
2016,1,22,24,0.251608328333333
2016,1,22,3,0.282259072333333
2016,1,22,6,0.267615521666667
2016,1,22,9,0.124011685
2016,1,22,12,0.0770727376666667
2016,1,22,15,0.121351327666667
2016,1,22,18,0.303423459333333
2016,1,22,21,0.326246127
2016,1,23,24,0.260229372333333
2016,1,23,3,0.223733650333333
2016,1,23,6,0.20617799
2016,1,23,9,0.118863446
2016,1,23,12,0.106532145333333
2016,1,23,15,0.140978049666667
2016,1,23,18,0.230828303333333
2016,1,23,21,0.241877680666667
2016,1,24,24,0.229848215
2016,1,24,3,0.214360619666667
2016,1,24,6,0.191435820333333
2016,1,24,9,0.141940351666667
2016,1,24,12,0.143463474
2016,1,24,15,0.161436682
2016,1,24,18,0.210415353666667
2016,1,24,21,0.233144227
2016,1,25,24,0.231822611
2016,1,25,3,0.206640973333333
2016,1,25,6,0.166932924
2016,1,25,9,0.116247021333333
2016,1,25,12,0.125638132333333
2016,1,25,15,0.120515929
2016,1,25,18,0.190297317
2016,1,25,21,0.228158372666667
2016,1,26,24,0.235031285
2016,1,26,3,0.212148337
2016,1,26,6,0.164138223333333
2016,1,26,9,0.086568111
2016,1,26,12,0.09843716
2016,1,26,15,0.136380189
2016,1,26,18,0.22550535
2016,1,26,21,0.269010071333333
2016,1,27,24,0.252178474666667
2016,1,27,3,0.224458355
2016,1,27,6,0.183030762
2016,1,27,9,0.0918507993333333
2016,1,27,12,0.0698949286666667
2016,1,27,15,0.080157659
2016,1,27,18,0.151689599333333
2016,1,27,21,0.205685369333333
2016,1,28,24,0.210602514333333
2016,1,28,3,0.218829174
2016,1,28,6,0.219989167333333
2016,1,28,9,0.084343814
2016,1,28,12,0.0433700846666667
2016,1,28,15,0.047416513
2016,1,28,18,0.0937632893333333
2016,1,28,21,0.152646207666667
2016,1,29,24,0.17163796
2016,1,29,3,0.160440205333333
2016,1,29,6,0.187078400333333
2016,1,29,9,0.0728875916666667
2016,1,29,12,0.0362368813333333
2016,1,29,15,0.046759498
2016,1,29,18,0.155124525333333
2016,1,29,21,0.264083166333333
2016,1,30,24,0.295221263333333
2016,1,30,3,0.300109936
2016,1,30,6,0.277836779
2016,1,30,9,0.0945183166666667
2016,1,30,12,0.0559112113333333
2016,1,30,15,0.0842721333333333
