Alaska/N.W. Canada [ALA:1],ALA,1,land,-105.0   60.0,-168.0   60.0,-168.0   72.6,-105.0   72.6,,
Amazon [AMZ:7],AMZ,7,land, -66.4  -20.0, -79.7   -1.2, -68.8   11.4, -50.0   11.4, -50.0  -20.0,
Central America/Mexico [CAM:6],CAM,6,land, -68.8   11.4, -79.7   -1.2,-118.3   28.6, -90.3   28.6,,
small islands regions Caribbean,CAR*,,all, -68.8   11.4, -85.8   25.0, -60.0   25.0, -60.0   11.4,,
Central Asia [CAS:20],CAS,20,land,  60.0   30.0,  60.0   50.0,  75.0   50.0,  75.0   30.0,,
Central Europe [CEU:12],CEU,12,land, -10.0   45.0, -10.0   48.0,  40.0   61.3,  40.0   45.0,,
Canada/Greenland/Iceland [CGI:2],CGI,2,land, -10.0   50.0,-105.0   50.0,-105.0   85.0, -10.0   85.0,,
Central North America [CNA:4],CNA,4,land, -85.0   50.0, -85.0   28.6,-105.0   28.6,-105.0   50.0,,
East Africa [EAF:16],EAF,16,land,  25.0  -11.4,  25.0   15.0,  52.0   15.0,  52.0  -11.4,,
East Asia [EAS:22],EAS,22,land, 100.0   20.0, 100.0   50.0, 145.0   50.0, 145.0   20.0,,
East North America [ENA:5],ENA,5,land, -60.0   25.0, -85.0   25.0, -85.0   50.0, -60.0   50.0,,
South Europe/Mediterranean [MED:13],MED,13,land, -10.0   30.0, -10.0   45.0,  40.0   45.0,  40.0   30.0,,
North Asia [NAS:18],NAS,18,land,  40.0   50.0,  40.0   70.0, 180.0   70.0, 180.0   50.0,,
North Australia [NAU:25],NAU,25,land, 110.0  -30.0, 110.0  -10.0, 155.0  -10.0, 155.0  -30.0,,
North-East Brazil [NEB:8],NEB,8,land, -34.0  -20.0, -50.0  -20.0, -50.0    0.0, -34.0    0.0,,
North Europe [NEU:11],NEU,11,land, -10.0   48.0, -10.0   75.0,  40.0   75.0,  40.0   61.3,,
Southern Africa [SAF:17],SAF,17,land, -10.0  -35.0, -10.0  -11.4,  52.0  -11.4,  52.0  -35.0,,
Sahara [SAH:14],SAH,14,land, -20.0   15.0, -20.0   30.0,  40.0   30.0,  40.0   15.0,,
South Asia [SAS:23],SAS,23,land; sea,  60.0    5.0,  60.0   30.0, 100.0   30.0, 100.0   20.0,  95.0   20.0,  95.0    5.0
South Australia/New Zealand [SAU:26],SAU,26,land, 110.0  -50.0, 110.0  -30.0, 180.0  -30.0, 180.0  -50.0,,
Southeast Asia [SEA:24],SEA,24,land; sea,  95.0  -10.0,  95.0   20.0, 155.0   20.0, 155.0  -10.0,,
Southeastern South America [SSA:10],SSA,10,land, -39.4  -20.0, -39.4  -56.7, -67.3  -56.7, -72.1  -50.0, -66.4  -20.0,
Tibetan Plateau [TIB:21],TIB,21,land,  75.0   30.0,  75.0   50.0, 100.0   50.0, 100.0   30.0,,
West Africa [WAF:15],WAF,15,land, -20.0  -11.4, -20.0   15.0,  25.0   15.0,  25.0  -11.4,,
West Asia [WAS:19],WAS,19,land,  40.0   15.0,  40.0   50.0,  60.0   50.0,  60.0   15.0,,
West North America [WNA:3],WNA,3,land,-105.0   28.6,-130.0   28.6,-130.0   60.0,-105.0   60.0,,
West Coast South America [WSA:9],WSA,9,land, -79.7   -1.2, -66.4  -20.0, -72.1  -50.0, -67.3  -56.7, -82.0  -56.7, -82.0    0.5
Antarctica,ANT*,,land; sea,-180.0  -90.0,-180.0  -50.0, 180.0  -50.0, 180.0  -90.0,,
Arctic,ARC*,,land; sea,-180.0   67.5,-180.0   90.0, 180.0   90.0, 180.0   67.5,,
Pacific Islands region[2],NTP*,,all, 155.0  5.0, 155.0   25.0, 210.0   25.0, 210.0  5.0,,
Southern Topical Pacific,STP*,,all, 155.0  -25.0, 155.0   -5.0, 230.0   -5.0, 230.0  -25.0,,
Pacific Islands region[3],ETP*,,all, 155.0  -5.0, 155.0   5.0, 210.0   5.0, 210.0  -5.0,,
West Indian Ocean,WIO*,,all, 52.0  5., 75. 5.0 ,  75.0   -25.,  52.0  -25.0,,
